artists,artist_popularity_api,artist_peak_popularity,artist_track_count
"Группа ""Загадка""",22.54,78,593
04 Limited Sazabys,32.0,32,1
1 Trait Danger,21.0,21,1
10-FEET,33.25,34,4
10 Years,43.5,60,4
100 Blaze,0.0,0,2
1019;Lucio101;Omar101;Nizi19;Karamel19,38.0,38,1
102 Boyz;Chapo102;Stacks102;Skoob102,38.0,39,2
10cc,14.0,71,10
10cm,61.0,61,1
110,41.0,41,1
12 Stones,54.89,60,9
1200 Micrograms,35.67,41,3
1280 Almas,37.0,37,1
12AM,47.0,47,1
12th Planet,45.0,47,5
13,19.0,19,1
13 Block,32.0,32,1
1349,18.0,20,5
13th Floor Elevators,54.0,54,1
163,38.0,38,1
16BL,46.0,47,2
175R,37.25,39,4
1782,19.0,19,1
1788-L;TYNAN,35.0,35,1
19,36.5,39,6
1986zig,0.0,0,2
1988;Kukon,35.0,35,1
1991,43.25,60,4
1995,33.0,33,1
1PLIKÉ140,0.0,0,2
2 Best Enemies,22.0,22,1
2 Blyga Läppar,40.75,45,8
2 Brothers On The 4th Floor,25.39,65,23
2 minutos,37.79,43,14
2002,22.17,24,6
22 Void Beats;Sneaky Ollie;Milano The Don,37.0,38,2
220 KID;LANY,68.0,68,1
22Gz;Kodak Black,4.73,67,15
23Till,35.0,35,1
24kGoldn;iann dior,83.0,83,1
24SJU,23.0,23,1
250 kg kärlek;Erik Meduza,43.5,44,2
25th Annual Putnam County Spelling Bee Original Cast,29.36,34,14
2Baba,44.0,44,1
2gaudy,51.0,51,1
2nd Grade,21.0,21,2
2Pac,72.43,81,14
2R,23.0,23,1
2T;Chris Beats Zn;Tz da Coronel;SoudCrime,49.0,49,1
3 Doors Down,35.67,80,45
3 Hürel,27.5,28,2
3 Pill Morning,28.0,28,1
3 Steps Ahead,20.11,24,9
3030,46.22,52,9
31 Minutos,39.09,46,34
311,38.0,38,1
32 Leaves,53.0,53,1
347aidan,61.2,76,10
36 Crazyfists,19.6,56,10
38 Special,1.5,3,6
3FORCE,25.43,41,7
3LAU;Bright Lights,39.75,59,8
3OH!3,64.0,65,4
3TEETH,45.0,45,1
3x7 Veintiuna,42.0,42,1
4*TOWN (From Disney and Pixar’s Turning Red);Jordan Fisher;Finneas O'Connell;Topher Ngo;Grayson Villanueva;Josh Levi,60.0,60,1
4 Tune Fairytales,21.33,25,3
40 Below Summer,25.0,25,1
44phantom,52.88,69,17
450,30.0,31,2
櫻坂46,37.6,40,10
48th St. Collective,0.0,0,1
4ever Falling,47.0,47,2
4hero,26.27,54,11
4i20;Claudinho Brasil;Mandragora;Devochka,44.0,44,1
4Keus Gang,32.0,32,1
4to28,47.5,50,2
4yye;B.Baby,35.0,35,1
5 a Seco,47.0,48,2
5 Adım,37.0,37,1
5 Seconds of Summer,80.0,81,2
50 Cent,83.0,83,1
509-E;Dexter;Afro-X,46.6,48,5
50landing,46.0,46,2
53 Thieves,54.0,55,2
6 Dogs,56.0,56,1
6091,35.0,45,14
胡66,53.0,54,2
6EJOU,25.0,25,1
6ix9ine,61.52,78,23
6o,46.0,46,2
6t6;Big Smoak,33.0,35,12
7!!,59.0,63,6
7 Minutoz,43.4,47,15
7evin7ins,56.0,56,1
7Horse,51.0,51,1
7ru7h,48.0,48,1
8 Graves,54.0,54,1
8 Kalacas,31.5,32,2
80purppp,69.2,79,5
831,63.0,63,1
88GLAM,63.0,63,1
89ine,45.0,45,2
8Kays;Diana Miro;Jerome Isma-Ae,50.0,50,1
8percent,66.0,66,2
8th Sin;Mandragora,42.0,42,1
9 Lazy 9,50.0,53,3
91 All Stars;LE RISQUE;Zokush;Daks,34.0,34,1
916frosty,52.83,59,6
92914,61.0,61,2
9mm Parabellum Bullet,7.0,57,18
9smkr;Shiloh Dynasty,47.0,47,1
Ağaçkakan;Çağrı Sinci;Emiladil,40.0,40,1
A$AP Rocky;Skepta,82.0,82,1
A.B.I,18.0,18,1
A Banda Mais Bonita da Cidade,40.5,41,2
A.CHAL,61.0,61,1
a crowd of rebellion,30.5,43,2
A Dama,54.0,54,1
A Day To Remember,44.43,70,23
A-do,39.5,54,2
A Família,46.33,48,3
A Feast for Kings,23.0,23,1
A Fine Frenzy,57.0,57,1
A Flock Of Seagulls,44.29,63,7
A Forest Mighty Black,32.5,47,2
A. G. Cook,40.25,47,4
A Great Big World,55.22,74,23
a-ha,27.07,85,27
Aşkın Nur Yengi,40.0,40,1
Aşık Veysel,44.5,45,2
A. Kanyakumari;Janardan Mitta,43.0,43,2
A Life Once Lost,23.0,23,1
A-Lin,46.0,62,9
A-Lusion,20.0,21,4
A.M.C,23.0,50,9
A.M.R,51.5,54,2
A-Mei Chang,53.71,57,7
A Mose,17.75,20,4
A.N.I.M.A.L.;Chuck Jhonson and Juan Jose Burgos;Richard Kaplan,22.54,33,26
A Niu,26.0,26,1
A Number Of Names,12.25,29,4
A R I Z O N A,0.0,0,1
A.R. Rahman,63.88,79,97
Çağrı Sertel,37.0,37,1
Çağrı Sinci,40.67,42,3
A Rocket To The Moon,52.78,60,18
A*S*Y*S,47.33,56,3
A Si,52.0,57,3
A.Skillz,12.92,17,12
A Skylit Drive,26.0,26,2
A Tribe Called Quest,67.67,70,3
A Vida Music,38.5,39,2
A Wilhelm Scream,30.33,31,3
A Winged Victory for the Sullen;Adam Bryanbaum Wiltzie;Dustin O'Halloran,59.0,59,1
A1 x J1;Nemzzz,60.67,75,6
AA Apres-Ski!,29.0,29,4
Aadesh Goud,42.0,42,1
Aamir Khan,45.5,51,4
Aaren Hughes,62.0,62,1
Aaron Carl,7.9,14,10
Aaron Espe,62.0,65,3
Aaron Karo,20.0,20,1
Aaron Keyes,44.0,54,2
Aaron Kwok,21.07,24,14
Aaron Shirk;Aaron Trinh,40.0,40,2
Aaron Shust,47.5,54,4
Aaron Smith;Luvli,30.59,78,27
Aaron Tveit,32.0,55,3
Aaron Watson,41.0,41,1
Aaron Wilburn,24.0,24,1
Aaryan Shah,57.56,79,9
Aastha Gill;Sachin Sanghvi;Jigar Saraiya;Divya Kumar,65.0,65,1
Aazar;French Montana;Mariah Angeliq;ZAAC;Dany Synthé,52.5,56,2
Ababeel,26.5,33,2
Abandoned;GalaxyTones;DNAKM,38.62,46,8
Abayomy Afrobeat Orquestra,20.0,25,5
ABBA,37.14,83,71
Abbath,16.0,16,1
Abby Cates,58.0,58,2
ABC,22.6,64,5
ABC Kids,29.0,31,3
Abdon Mech;Zuchobeni Tungoe,36.0,36,2
Abdul Hannan,57.25,66,8
Abdullah Siddiqui;Atif Aslam,50.67,55,3
Abel Korzeniowski,49.22,58,9
Abel Pintos,44.5,45,2
Abelation;Saka,40.0,40,1
Aberdeen,19.0,19,1
Aberola,26.0,26,1
Abfahrt Hinwil,11.0,13,3
Abhijeet,60.0,64,6
Abhilasha Sinha,43.5,46,6
