covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
valence,0.028367313649693186,1.0287734975773153,0.0179471813461012,-0.00680851541267425,0.06354314271206063,0.993214610015346,1.06560545791922,0.0,1.5805999339197423,0.11396954095186206,3.1332797879465346
tempo,0.06433534144170622,1.0664499636733138,0.016103934441098047,0.03277220992775988,0.09589847295565256,1.033315133501871,1.1006473128526506,0.0,3.995007659589026,6.469216142687773e-05,13.91604955906082
acousticness,-0.1088747259047074,0.8968427616267665,0.02018922629325523,-0.14844488231521674,-0.06930456949419805,0.8620475199245615,0.9330424605278282,0.0,-5.392714129965446,6.94013187230907e-08,23.780461682791213
loudness,-0.10345211420766375,0.9017192012464452,0.01917492026887209,-0.14103426734108013,-0.06586996107424736,0.8684595513881057,0.936252605658962,0.0,-5.395178324449378,6.845553056060545e-08,23.80025765676781
speechiness,0.04655823542385636,1.0476590881631274,0.017033260751685465,0.0131736578112732,0.07994281303643952,1.0132608127372111,1.0832251195482234,0.0,2.733371848326185,0.006268951332549616,7.317560154850466
instrumentalness,0.029995008995747977,1.0304493909633907,0.01687119946543968,-0.003071934332505206,0.06306195232400116,0.9969327792299463,1.0650928221629963,0.0,1.7778824236647883,0.07542316751159195,3.7288484498320424
liveness,0.009188937203388885,1.009231285098182,0.017389455203309964,-0.02489376870587129,0.043271643112649055,0.9754135259658878,1.0442215119093485,0.0,0.5284200738870666,0.597207807863072,0.7436950675734835
key,0.013530583656617842,1.0136225362597489,0.016661992713647548,-0.019126321972800155,0.04618748928603584,0.9810554255582247,1.0472707445953255,0.0,0.8120627519861521,0.4167556249240897,1.2627264235813087
explicit,0.026220084431400656,1.0265668549958524,0.01757612973640375,-0.008228496839554164,0.060668665702355476,0.9918052645752039,1.0625467976593583,0.0,1.4918008016914845,0.1357513737217602,2.880961297583005
duration_min,-0.0024121187814306246,0.9975907880394085,0.019320131794335445,-0.04027888127489531,0.03545464371203406,0.9605215303277401,1.0360906538362755,0.0,-0.12485001692058044,0.900642289362855,0.1509738743454205
decade_idx,-0.150214228470996,0.86052360802048,0.020413113574775845,-0.19022319588988235,-0.11020526105210966,0.8267745806600988,0.8956502743097969,0.0,-7.358712227840308,1.8569285192903208e-13,42.29214695237665
