track_genre,total_tracks,charted_tracks,chart_rate,avg_popularity
rock,166,54,0.3253,34.5241
country,567,150,0.2646,27.7002
dance,482,118,0.2448,38.89
hard-rock,623,120,0.1926,48.1974
grunge,746,139,0.1863,50.437
disco,765,133,0.1739,36.9412
alternative,234,36,0.1538,35.5385
blues,683,96,0.1406,40.8785
pop,479,67,0.1399,60.7641
soul,271,37,0.1365,41.9779
metal,214,27,0.1262,58.3879
synth-pop,691,85,0.123,37.9392
british,833,90,0.108,45.8451
house,133,14,0.1053,46.7068
alt-rock,791,77,0.0973,41.6587
electro,380,36,0.0947,47.8605
psych-rock,548,50,0.0912,43.8084
rockabilly,514,45,0.0875,31.2335
piano,684,56,0.0819,49.9415
rock-n-roll,758,59,0.0778,36.376
singer-songwriter,432,32,0.0741,50.0718
reggae,166,12,0.0723,35.1386
emo,841,60,0.0713,50.0464
hip-hop,655,45,0.0687,52.7924
punk,528,35,0.0663,43.8011
jazz,216,12,0.0556,23.0463
latino,333,18,0.0541,51.3483
hardcore,727,38,0.0523,37.304
r-n-b,430,22,0.0512,43.0907
folk,745,36,0.0483,43.1758
power-pop,831,38,0.0457,26.704
club,946,42,0.0444,33.1342
latin,436,18,0.0413,14.4794
k-pop,849,32,0.0377,59.0636
funk,621,23,0.037,41.5153
indie,334,11,0.0329,48.3802
swedish,648,21,0.0324,40.4336
indie-pop,238,7,0.0294,43.979
acoustic,902,23,0.0255,43.9146
edm,510,12,0.0235,49.8176
honky-tonk,818,16,0.0196,15.2408
punk-rock,268,5,0.0187,38.7649
german,633,10,0.0158,36.1074
techno,391,6,0.0153,40.376
j-dance,713,9,0.0126,25.2749
garage,865,10,0.0116,40.4266
j-pop,440,5,0.0114,41.7091
dancehall,832,8,0.0096,36.5168
j-rock,331,3,0.0091,37.3293
industrial,810,7,0.0086,32.2407
new-age,952,4,0.0042,28.9286
afrobeat,952,4,0.0042,24.4412
show-tunes,851,3,0.0035,31.3478
french,855,3,0.0035,41.6129
groove,600,2,0.0033,35.8317
disney,927,3,0.0032,27.1316
breakbeat,953,3,0.0031,19.7943
comedy,987,3,0.003,24.6079
trance,675,2,0.003,38.9585
ska,722,2,0.0028,35.9488
electronic,788,2,0.0025,44.4607
opera,807,2,0.0025,24.8067
trip-hop,859,2,0.0023,34.227
dub,876,2,0.0023,40.3162
salsa,924,2,0.0022,29.0758
kids,936,2,0.0021,14.8344
chicago-house,953,2,0.0021,12.0923
metalcore,671,1,0.0015,44.3815
guitar,864,1,0.0012,29.4653
world-music,873,1,0.0011,41.2268
children,886,1,0.0011,35.4594
chill,910,1,0.0011,55.056
deep-house,914,1,0.0011,46.6674
drum-and-bass,915,1,0.0011,26.3399
detroit-techno,917,1,0.0011,10.9771
bluegrass,976,1,0.001,25.7059
black-metal,990,0,0.0,22.3556
samba,610,0,0.0,37.582
sertanejo,802,0,0.0,47.8155
happy,943,0,0.0,21.4645
dubstep,253,0,0.0,39.4743
sleep,944,0,0.0,35.9449
spanish,874,0,0.0,39.6224
romance,363,0,0.0,4.7025
study,996,0,0.0,26.1436
anime,836,0,0.0,48.1136
ambient,937,0,0.0,44.7001
tango,930,0,0.0,19.6699
grindcore,963,0,0.0,14.4891
goth,871,0,0.0,28.7933
turkish,849,0,0.0,40.9552
sad,532,0,0.0,51.9812
brazil,927,0,0.0,44.7303
mandopop,295,0,0.0,44.3593
forro,966,0,0.0,41.7226
minimal-techno,845,0,0.0,33.4438
mpb,754,0,0.0,40.9085
indian,722,0,0.0,49.7396
gospel,665,0,0.0,39.5835
pagode,818,0,0.0,45.5024
party,661,0,0.0,24.9077
death-metal,877,0,0.0,32.2372
idm,948,0,0.0,15.4008
pop-film,628,0,0.0,56.7404
heavy-metal,959,0,0.0,26.1867
progressive-house,675,0,0.0,47.5393
classical,757,0,0.0,14.4201
hardstyle,880,0,0.0,28.0364
iranian,952,0,0.0,2.2521
malay,963,0,0.0,30.1454
reggaeton,63,0,0.0,44.7778
cantopop,301,0,0.0,33.5914
j-idol,447,0,0.0,25.1454
