Feature,Coef
decade_idx,0.2746781709481392
lastfm_listeners_log,0.032039374428249605
artist_peak_popularity,0.03140539313402306
duration_min,0.022967344219552967
key,0.009983482106355102
liveness,0.008286602470737009
loudness,0.004867387537318752
valence,0.004801545032062754
sentiment_compound,0.0017515164265630638
acousticness,-0.0021832940166737137
is_us_artist,-0.0050698673239431315
lyric_word_count,-0.005269985497801659
sentiment_neg,-0.005755524314041665
instrumentalness,-0.008969071389480957
mode,-0.010803698478699724
artist_popularity_api,-0.012536641924776779
speechiness,-0.01529932921159185
sentiment_pos,-0.01839796211566651
explicit,-0.034809888738348206
artist_track_count,-0.07640728371381461
