,test_statistic,p,-log2(p)
acousticness,1.6634394879037262,0.1971395702730417,2.3427107086282133
artist_peak_popularity,0.07132815328134405,0.7894127164265373,0.3411483355021305
artist_popularity_api,0.11746181993438708,0.7318038228503078,0.45047114273485567
artist_track_count,0.5887657393401405,0.44289679692011397,1.174957531360627
decade_idx,17.393099497349972,3.0392737848166368e-05,15.005913832414386
duration_min,5.31683584098927,0.021120328953837714,5.565223884606081
explicit,1.31901185164632,0.25076946942635303,1.9955663806722614
instrumentalness,0.09139061423220314,0.7624166659385233,0.3913484389080467
is_us_artist,0.17344851518037302,0.6770650136969203,0.5626337227787225
key,1.3546185457443434,0.24447231641860878,2.0322569885107047
lastfm_listeners_log,1.6026152586757458,0.2055329838896452,2.282558159006949
liveness,0.005758420793112567,0.9395111800923482,0.09001776520816503
loudness,1.6137815470267072,0.20396104678636903,2.293634447466087
lyric_word_count,1.7506926302618233,0.18578968278794653,2.428257706212764
sentiment_compound,1.5690539323150494,0.21034445886868092,2.24917428138237
sentiment_neg,0.0864242349276009,0.7687731932509589,0.3793700639762287
sentiment_pos,0.7284606762774943,0.39338259869188286,1.3459949535804598
speechiness,0.11823582829977104,0.7309558085407438,0.4521439072134724
valence,0.015491116569522798,0.900948445541359,0.15048354100149314
